Transaction_ID,Date,Time,DateTime,Day_of_Week,Hour,Product,Category,Quantity,Price
TXN0001,2024-11-21,07:47:00,2024-11-21 07:47:00,Thursday,7,Oranges,Fruits,3,5.76
TXN0001,2024-11-21,07:47:00,2024-11-21 07:47:00,Thursday,7,Yogurt,Dairy,3,27.08
TXN0002,2024-11-03,15:02:00,2024-11-03 15:02:00,Sunday,15,Bananas,Fruits,1,16.63
TXN0003,2024-11-01,14:45:00,2024-11-01 14:45:00,Friday,14,Juice,Beverages,2,18.9
TXN0003,2024-11-01,14:45:00,2024-11-01 14:45:00,Friday,14,Rice,Grains,1,23.48
TXN0003,2024-11-01,14:45:00,2024-11-01 14:45:00,Friday,14,Oranges,Fruits,1,21.84
TXN0004,2024-11-11,09:13:00,2024-11-11 09:13:00,Monday,9,Carrots,Vegetables,2,25.87
TXN0004,2024-11-11,09:13:00,2024-11-11 09:13:00,Monday,9,Cheese,Dairy,3,10.13
TXN0004,2024-11-11,09:13:00,2024-11-11 09:13:00,Monday,9,Eggs,Dairy,1,22.69
TXN0004,2024-11-11,09:13:00,2024-11-11 09:13:00,Monday,9,Beef,Meat,3,6.36
TXN0004,2024-11-11,09:13:00,2024-11-11 09:13:00,Monday,9,Cookies,Snacks,2,5.12
TXN0005,2024-11-10,19:39:00,2024-11-10 19:39:00,Sunday,19,Chicken,Meat,1,20.84
TXN0005,2024-11-10,19:39:00,2024-11-10 19:39:00,Sunday,19,Cookies,Snacks,2,29.59
TXN0005,2024-11-10,19:39:00,2024-11-10 19:39:00,Sunday,19,Bananas,Fruits,1,26.39
TXN0005,2024-11-10,19:39:00,2024-11-10 19:39:00,Sunday,19,Eggs,Dairy,2,10.5
TXN0006,2024-11-21,19:10:00,2024-11-21 19:10:00,Thursday,19,Bananas,Fruits,3,28.28
TXN0006,2024-11-21,19:10:00,2024-11-21 19:10:00,Thursday,19,Tomatoes,Vegetables,3,4.92
TXN0007,2024-11-21,08:46:00,2024-11-21 08:46:00,Thursday,8,Pasta,Grains,2,29.71
TXN0007,2024-11-21,08:46:00,2024-11-21 08:46:00,Thursday,8,Beef,Meat,3,21.57
TXN0008,2024-11-08,17:53:00,2024-11-08 17:53:00,Friday,17,Bread,Bakery,2,10.22
TXN0008,2024-11-08,17:53:00,2024-11-08 17:53:00,Friday,17,Oranges,Fruits,1,27.64
TXN0008,2024-11-08,17:53:00,2024-11-08 17:53:00,Friday,17,Chips,Snacks,3,26.65
TXN0008,2024-11-08,17:53:00,2024-11-08 17:53:00,Friday,17,Carrots,Vegetables,2,8.73
TXN0009,2024-11-16,11:58:00,2024-11-16 11:58:00,Saturday,11,Yogurt,Dairy,1,23.1
TXN0009,2024-11-16,11:58:00,2024-11-16 11:58:00,Saturday,11,Tomatoes,Vegetables,3,10.08
TXN0009,2024-11-16,11:58:00,2024-11-16 11:58:00,Saturday,11,Chips,Snacks,3,14.56
TXN0010,2024-11-19,11:14:00,2024-11-19 11:14:00,Tuesday,11,Yogurt,Dairy,1,7.12
TXN0010,2024-11-19,11:14:00,2024-11-19 11:14:00,Tuesday,11,Tea,Beverages,1,24.38
TXN0010,2024-11-19,11:14:00,2024-11-19 11:14:00,Tuesday,11,Coffee,Beverages,2,19.09
TXN0010,2024-11-19,11:14:00,2024-11-19 11:14:00,Tuesday,11,Eggs,Dairy,2,13.29
TXN0010,2024-11-19,11:14:00,2024-11-19 11:14:00,Tuesday,11,Bread,Bakery,2,17.28
TXN0011,2024-11-18,19:00:00,2024-11-18 19:00:00,Monday,19,Cheese,Dairy,3,12.17
TXN0011,2024-11-18,19:00:00,2024-11-18 19:00:00,Monday,19,Juice,Beverages,2,14.73
TXN0011,2024-11-18,19:00:00,2024-11-18 19:00:00,Monday,19,Tomatoes,Vegetables,2,3.08
TXN0012,2024-11-24,19:16:00,2024-11-24 19:16:00,Sunday,19,Apples,Fruits,1,13.09
TXN0012,2024-11-24,19:16:00,2024-11-24 19:16:00,Sunday,19,Tea,Beverages,1,17.55
TXN0012,2024-11-24,19:16:00,2024-11-24 19:16:00,Sunday,19,Cheese,Dairy,3,27.79
TXN0012,2024-11-24,19:16:00,2024-11-24 19:16:00,Sunday,19,Lettuce,Vegetables,3,11.74
